addressID,address1,address2,city,state,zip,country,www,email,phone,gedcom
149,,,,,,,"http://lds.org/churchhistory/library/pioneerdetails/1,15791,4018-1-8575,00.html",,,Earlylds
151,,,,,,,http://www.findagrave.com/cgi-bin/fg.cgi?page=gr&GRid=19024432,,,Earlylds
152,,,,,,,http://www.findagrave.com/cgi-bin/fg.cgi?page=gr&GSln=salisbury&GSiman=1&GScid=108773&GRid=10359991&,,,Earlylds
153,,,,,,,http://mapntour.com/view/crossroads,,,Earlylds
130,"Nauvoo Family History Center and Other Selected Family History C",,,,,,,,,Earlylds
136,"101 Newbury Street",,"Boston, Massachusetts 02116-3007, USA",,,,,,,Earlylds
146,"220 Morrissey Boulevard",,"Boston, Massachusetts 02125, USA",,,,,,,Earlylds
135,"3215 State Street",,"Florence, Nebraska 68112, USA",,,,,,,Earlylds
143,"717 Main Street",,"Lancaster, Massaschusetts 01523, USA",,,,,,,Earlylds
134,"134 Newfield Street",,"Middletown, Connecticut, 06457-2534",,,,,,,Earlylds
132,"1195 Knight Street",,"Nauvoo, Hancock, Illinois 62354, USA",,,,,,,Earlylds
133,"Lands and Records Office",,"Nauvoo, Illinois 62354, USA",,,,,,,Earlylds
139,"Illinois Nauvoo Mission",,"Nauvoo, Illinois 62354,USA",,,,,,,Earlylds
129,"Brigham Young University",,"Provo, Utah 84602, USA",,,,,,,Earlylds
177,"35 N West Temple Street",,"Salt Lake City, UT 84150  USA",,,,,,,Earlylds
142,"300 North Main Street",,"Salt Lake City, Utah 84103, USA",,,,,,,Earlylds
131,"35 N West Temple Street",,"Salt Lake City, Utah 84150  USA",,,,,,,Earlylds
137,"50 E. North Temple",,"Salt Lake City, Utah 84150, USA",,,,,,,Earlylds
138,"300 South Rio Grande Street",,"Salt Lake City, Utah, 84101-1182, USA",,,,,,,Earlylds
144,"45 Pleasant Street",,"Woburn, Massachusetts 01801, USA",,,,,,,Earlylds
141,"Harold B. Lee Library",,"Brigham Young University","Provo, Utah 84602, USA",,,,,,Earlylds
140,"University of Utah",,"295 South 1500 East","Salt Lake City, Utah 84112, USA",,,,,,Earlylds
145,"550 Foothill Drive",,"Post Office Box 581900","Salt Lake City, Utah 84158-1900, USA",,,,,,Earlylds
180,"3215 State Street",,Omaha,Nebraska,68112,"United States of America",,,,Earlylds
148,"3215 State Street",,Omaha,Nebraska,68112-1703,USA,,,,Earlylds
