ID,gedcom,personID,docID,altdescription,altnotes,ordernum
24,Earlylds,I29750,4,,,1
33,Earlylds,I11856,6,,,2
3,Earlylds,I29797,3,,,1
5,Earlylds,I59,5,,,1
13,Earlylds,134056,9,,,1
7,Earlylds,I59,7,,,2
32,Earlylds,I11856,8,,,1
22,Earlylds,I1053,1,,,1
25,Earlylds,I2580,2,,,1
29,Earlylds,I34035,9,,,1
23,Earlylds,I4089,10,,,1
26,Earlylds,I18257,13,,,1
31,Earlylds,I18256,14,,,1
30,Earlylds,I15257,16,,,1
21,Earlylds,I17243,19,,,1
35,Earlylds,I15258,16,,,1
36,Earlylds,I18256,13,,,2
37,Earlylds,I3313,13,,,1
38,Earlylds,I10526,22,,,1
39,Earlylds,I11227,16,,,1
40,Earlylds,I26481,16,,,1
41,Earlylds,I15256,16,,,1
42,Earlylds,I15183,22,,,1
43,Earlylds,I15151,22,,,1
45,Earlylds,I3332,22,,,1
46,Earlylds,I25126,22,,,1
47,Earlylds,I4086,22,,,1
48,Earlylds,I15225,22,,,1
49,Earlylds,I24651,22,,,1
50,Earlylds,I15222,22,,,1
51,Earlylds,I15209,22,,,1
52,Earlylds,I15142,22,,,1
53,Earlylds,I26797,22,,,1
54,Earlylds,I15117,22,,,1
55,Earlylds,F3257,22,,,1
56,Earlylds,I22189,23,,,1
57,Earlylds,I24352,24,,,1
58,Earlylds,I9254,27,,,1
59,Earlylds,F744,27,,,1
60,Earlylds,I15637,28,,,1
61,Earlylds,I19599,29,,,1
62,Earlylds,F19799,31,,,1
63,Earlylds,I52474,31,,,1
64,Earlylds,I52469,31,,,1
65,Earlylds,I52471,31,,,1
66,Earlylds,I52472,31,,,1
67,Earlylds,I27818,31,,,1
68,Earlylds,I52473,31,,,1
