ID,gedcom,place,longitude,latitude,zoom,placelevel,temple,geoignore,notes
109499,Earlylds,"Greenock, Renfrew, Scotland",NULL,NULL,NULL,NULL,0,0,NULL
109498,Earlylds,"Granville, , Ohio, USA",NULL,NULL,NULL,NULL,0,0,NULL
109497,Earlylds,"Shelton, Bedfordshire, England",NULL,NULL,NULL,NULL,0,0,NULL
109496,Earlylds,"Richford, Tioga, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109495,Earlylds,"Montgomery, Trigg, Kentucky, USA",NULL,NULL,NULL,NULL,0,0,NULL
109494,Earlylds,"North Danville, Caledonia, Vermont, USA",NULL,NULL,NULL,NULL,0,0,NULL
109493,Earlylds,"Rushville, Buchanan, Missouri, USA",NULL,NULL,NULL,NULL,0,0,NULL
109492,Earlylds,", Andrew, Missouri, USA",NULL,NULL,NULL,NULL,0,0,NULL
109491,Earlylds,"Watertown, Middlesex, Massachusetts, USA",NULL,NULL,NULL,NULL,0,0,NULL
109490,Earlylds,"Lampeter, Lancaster, Pennsylvania, USA",NULL,NULL,NULL,NULL,0,0,NULL
109489,Earlylds,"Charlotte, Chautauqua, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109488,Earlylds,"Arkwright, Chautauqua, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109487,Earlylds,"Fairview, Buncombe, North Carolina, USA",NULL,NULL,NULL,NULL,0,0,NULL
109486,Earlylds,"Gill, Franklin, Massachusetts, USA",NULL,NULL,NULL,NULL,0,0,NULL
109485,Earlylds,"Lorain, Lorain, Ohio, USA",NULL,NULL,NULL,NULL,0,0,NULL
109484,Earlylds,"Crawford, Lawrence, Indiana, USA",NULL,NULL,NULL,NULL,0,0,NULL
109483,Earlylds,"Otterburn, Yorkshire West Riding, England",NULL,NULL,NULL,NULL,0,0,NULL
109482,Earlylds,"Marton, Yorkshire North Riding, England",NULL,NULL,NULL,NULL,0,0,NULL
109481,Earlylds,", Madison, Missouri, USA",NULL,NULL,NULL,NULL,0,0,NULL
109480,Earlylds,"Hutton, Yorkshire East Riding, England",NULL,NULL,NULL,NULL,0,0,NULL
109479,Earlylds,"Haughton, Shropshire, England",NULL,NULL,NULL,NULL,0,0,NULL
109478,Earlylds,"Prairie City, Jasper, Iowa, USA",NULL,NULL,NULL,NULL,0,0,NULL
109477,Earlylds,"Melbourn, Cambridgeshire, England",NULL,NULL,NULL,NULL,0,0,NULL
109476,Earlylds,"Kenwyn, Cornwall, England",NULL,NULL,NULL,NULL,0,0,NULL
109475,Earlylds,"Truro, Cornwall, England",NULL,NULL,NULL,NULL,0,0,NULL
109474,Earlylds,"Saint Agnes, Cornwall, England",NULL,NULL,NULL,NULL,0,0,NULL
109473,Earlylds,"Islesboro, Waldo, Maine, USA",NULL,NULL,NULL,NULL,0,0,NULL
109472,Earlylds,", Jefferson, Missouri, USA",NULL,NULL,NULL,NULL,0,0,NULL
109471,Earlylds,"White Rock Forge, Chester, Pennsylvania, USA",NULL,NULL,NULL,NULL,0,0,NULL
109470,Earlylds,"Theresa, Jefferson, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109469,Earlylds,"Marsden, Yorkshire West Riding, England",NULL,NULL,NULL,NULL,0,0,NULL
109468,Earlylds,", Taney, Missouri, USA",NULL,NULL,NULL,NULL,0,0,NULL
109467,Earlylds,"Clarksville, Montgomery, Tennessee, USA",NULL,NULL,NULL,NULL,0,0,NULL
109466,Earlylds,"Oak Creek, Sanpete, Utah, USA",NULL,NULL,NULL,NULL,0,0,NULL
109465,Earlylds,"Maidenhead, Berkshire, England",NULL,NULL,NULL,NULL,0,0,NULL
109464,Earlylds,"Skippool, Lancashire, England",NULL,NULL,NULL,NULL,0,0,NULL
109463,Earlylds,"Munsley, Herefordshire, England",NULL,NULL,NULL,NULL,0,0,NULL
109462,Earlylds,"Bountiful City Cemetery, Bountiful, Davis, Utah, USA",NULL,NULL,NULL,NULL,0,0,NULL
109461,Earlylds,", York, Maine, USA",NULL,NULL,NULL,NULL,0,0,NULL
109460,Earlylds,"Garrett, Meade, Kentucky, USA",NULL,NULL,NULL,NULL,0,0,NULL
109459,Earlylds,"Waterford, Norfolk, Ontario, Canada",NULL,NULL,NULL,NULL,0,0,NULL
109458,Earlylds,"Packington, Leicestershire, England",NULL,NULL,NULL,NULL,0,0,NULL
109457,Earlylds,"Preston, New London, Connecticut, USA",NULL,NULL,NULL,NULL,0,0,NULL
109456,Earlylds,"Hogestown, Cumberland, Pennsylvania, USA",NULL,NULL,NULL,NULL,0,0,NULL
109455,Earlylds,"Milford, Pike, Pennsylvania, USA",NULL,NULL,NULL,NULL,0,0,NULL
109454,Earlylds,"Mountain, Stormont Dundas And Glengarry, Ontario, Canada",NULL,NULL,NULL,NULL,0,0,NULL
109453,Earlylds,"Colfax, Harrison, Missouri, USA",NULL,NULL,NULL,NULL,0,0,NULL
109452,Earlylds,"Brindle, Lancashire, England",NULL,NULL,NULL,NULL,0,0,NULL
109451,Earlylds,"Knob Noster, Johnson, Missouri, USA",NULL,NULL,NULL,NULL,0,0,NULL
109450,Earlylds,"New Egypt, Ocean, New Jersey, USA",NULL,NULL,NULL,NULL,0,0,NULL
109449,Earlylds,", , New Brunswick, Canada",NULL,NULL,NULL,NULL,0,0,NULL
109448,Earlylds,"Peoa, Summit, Utah, USA",NULL,NULL,NULL,NULL,0,0,NULL
109447,Earlylds,"Dymock, Gloucestershire, England",NULL,NULL,NULL,NULL,0,0,NULL
109446,Earlylds,"Unadilla, Otsego, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109445,Earlylds,"Dover, Sanpete, Utah, USA",NULL,NULL,NULL,NULL,0,0,NULL
109444,Earlylds,"Sherburne, Chenango, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109443,Earlylds,"Sycamore, Dekalb, Illinois, USA",NULL,NULL,NULL,NULL,0,0,NULL
109442,Earlylds,"Trenton, Oneida, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109441,Earlylds,"Cedar Creek, Cass, Nebraska, USA",NULL,NULL,NULL,NULL,0,0,NULL
109440,Earlylds,"Searsmont, Waldo, Maine, USA",NULL,NULL,NULL,NULL,0,0,NULL
109439,Earlylds,"Macedonia (Montrose), Lee, Iowa, USA",-91.41946792602539,40.52828369860087,13,2,0,0,
109438,Earlylds,"Spittlegate, Lincolnshire, England",NULL,NULL,NULL,NULL,0,0,NULL
109437,Earlylds,"North Haven, New Haven, Connecticut, USA",NULL,NULL,NULL,NULL,0,0,NULL
109436,Earlylds,"Layton (Safford), Graham, Arizona, USA",NULL,NULL,NULL,NULL,0,0,NULL
109435,Earlylds,"Plainfield, Hampshire, Massachusetts, USA",NULL,NULL,NULL,NULL,0,0,NULL
109434,Earlylds,"Studham, Hertfordshire, England",NULL,NULL,NULL,NULL,0,0,NULL
109433,Earlylds,"Studham, Bedfordshire, England",NULL,NULL,NULL,NULL,0,0,NULL
109432,Earlylds,"Long Beach, Los Angeles, California, USA",NULL,NULL,NULL,NULL,0,0,NULL
109431,Earlylds,"Atkinson, Summit, Utah, USA",NULL,NULL,NULL,NULL,0,0,NULL
109430,Earlylds,"Clayton, Perry, Ohio, USA",NULL,NULL,NULL,NULL,0,0,NULL
109429,Earlylds,"Hebron, Licking, Ohio, USA",NULL,NULL,NULL,NULL,0,0,NULL
109428,Earlylds,", Saginaw, Michigan, USA",NULL,NULL,NULL,NULL,0,0,NULL
109427,Earlylds,"Ischua, Cattaraugus, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109426,Earlylds,"Crossing the Plains, Bluff Ruins, Scotts Bluff, Nebraska, USA",NULL,NULL,NULL,NULL,0,0,NULL
109425,Earlylds,"San Juan Bautista, San Benito, California, USA",NULL,NULL,NULL,NULL,0,0,NULL
109424,Earlylds,", Meigs, Ohio, USA",NULL,NULL,NULL,NULL,0,0,NULL
109423,Earlylds,", Harrison, Virginia, USA",NULL,NULL,NULL,NULL,0,0,NULL
109422,Earlylds,"Monroe, Ashtabula, Ohio, USA",NULL,NULL,NULL,NULL,0,0,NULL
109421,Earlylds,"Whitehall, Lehigh, Pennsylvania, USA",NULL,NULL,NULL,NULL,0,0,NULL
109420,Earlylds,"Bedford, Cuyahoga, Ohio, USA",NULL,NULL,NULL,NULL,0,0,NULL
109419,Earlylds,"Williamsburg, Hampshire, Massachusetts, USA",NULL,NULL,NULL,NULL,0,0,NULL
109418,Earlylds,"Madison, Madison, Nebraska, USA",NULL,NULL,NULL,NULL,0,0,NULL
109417,Earlylds,"Everest, Brown, Kansas, USA",NULL,NULL,NULL,NULL,0,0,NULL
109416,Earlylds,"Knockfola, Donegal, Ireland",NULL,NULL,NULL,NULL,0,0,NULL
109415,Earlylds,", Queens (Laoighis), Ireland",NULL,NULL,NULL,NULL,0,0,NULL
109414,Earlylds,"Great Corby, Cumberland, England",NULL,NULL,NULL,NULL,0,0,NULL
109413,Earlylds,"Matilda, Stormont Dundas And Glengarry, Ontario, Canada",NULL,NULL,NULL,NULL,0,0,NULL
109412,Earlylds,"Chelsea, Suffolk, Massachusetts, USA",NULL,NULL,NULL,NULL,0,0,NULL
109411,Earlylds,"Thornhill, Yorkshire West Riding, England",NULL,NULL,NULL,NULL,0,0,NULL
109410,Earlylds,"Fort Leavenworth, Leavenworth, Kansas, USA",NULL,NULL,NULL,NULL,0,0,NULL
109409,Earlylds,"Panther Creek, Hamblen, Tennessee, USA",NULL,NULL,NULL,NULL,0,0,NULL
109408,Earlylds,"South Saint George, Knox, Maine, USA",NULL,NULL,NULL,NULL,0,0,NULL
109407,Earlylds,"Edgefield, Edgefield, South Carolina, USA",NULL,NULL,NULL,NULL,0,0,NULL
109406,Earlylds,", Baraga, Michigan, USA",NULL,NULL,NULL,NULL,0,0,NULL
109405,Earlylds,", Bibb, Alabama, USA",NULL,NULL,NULL,NULL,0,0,NULL
109404,Earlylds,"Sandwich, Barnstable, Massachusetts, USA",NULL,NULL,NULL,NULL,0,0,NULL
109403,Earlylds,"Coolville, Athens, Ohio, USA",NULL,NULL,NULL,NULL,0,0,NULL
109402,Earlylds,"Fond du Lac, Fond du Lac, Wisconsin, USA",NULL,NULL,NULL,NULL,0,0,NULL
109401,Earlylds,"Lodi, Athens, Ohio, USA",NULL,NULL,NULL,NULL,0,0,NULL
109400,Earlylds,"Denmark, Oxford, Maine, USA",NULL,NULL,NULL,NULL,0,0,NULL
