PARCEL_ID	FULLTEXT	TYPE	TOWN	PLAT	BLOCK	LOT	BLM	RANGE	TOWNSHIP	SECTION	PART	DESCRIP	AREA
1	Nauvoo:Kimball:2:58::Commence Southwest corner Lot 58; West 11 Rods; North 2 Rods 7 feet; East 11 Rods; South 2 Rods 7 feet to beginning.	town	Nauvoo	Kimball	2	58						Commence Southwest corner Lot 58; West 11 Rods; North 2 Rods 7 feet; East 11 Rods; South 2 Rods 7 feet to beginning.	
2	Nauvoo:Kimball:2:58::	town	Nauvoo	Kimball	2	58							
3	Nauvoo:Kimball:2:58 ::Beginning on White Street at Southeast corner of Michael Gannon Lot; North 11 Rods; East to line of Lot 58; South 11 Rods; West to beginning.	town	Nauvoo	Kimball	2	58 						Beginning on White Street at Southeast corner of Michael Gannon Lot; North 11 Rods; East to line of Lot 58; South 11 Rods; West to beginning.	.5
4	Nauvoo:Kimball:2:58::Beginning Northwest corner Lot 58; South 31 Rods; East 15 Rods; North 11 Rods; East 6 Rods; North on line of Lot 20 Rods; West 21 Rods to beginning with building erected by William Staley and now occupied by Hiram Faulk.	town	Nauvoo	Kimball	2	58						Beginning Northwest corner Lot 58; South 31 Rods; East 15 Rods; North 11 Rods; East 6 Rods; North on line of Lot 20 Rods; West 21 Rods to beginning with building erected by William Staley and now occupied by Hiram Faulk.	
5	Nauvoo:Kimball:2:58::Beginning on West line Lot 58; 36 Rods from Northwest corner; South 36 Rods; East to East line; North 36 Rods; the to beginning.	town	Nauvoo	Kimball	2	58						Beginning on West line Lot 58; 36 Rods from Northwest corner; South 36 Rods; East to East line; North 36 Rods; the to beginning.	4
6	Nauvoo:Kimball:2:58::	town	Nauvoo	Kimball	2	58							
7	Nauvoo:Nauvoo:23:All::	town	Nauvoo	Nauvoo	23	All							
8	Nauvoo:Kimball:2:73::Commence Southwest corner Lot 73: East along South line 8 Rods; North to center Mulholland Street 8 1/2 Rods; West 8 Rods; South 8 1/2 Rods to beginning	town	Nauvoo	Kimball	2	73						Commence Southwest corner Lot 73: East along South line 8 Rods; North to center Mulholland Street 8 1/2 Rods; West 8 Rods; South 8 1/2 Rods to beginning	68 Rods of ground
9	Nauvoo:Kimball:2:73::Commence Southwest corner Lot 73; East 8 Rods; North to center Mulholland Street 8 1/2 Rods; West 8 Rods; South 8 1/2 Rods to beginning.	town	Nauvoo	Kimball	2	73						Commence Southwest corner Lot 73; East 8 Rods; North to center Mulholland Street 8 1/2 Rods; West 8 Rods; South 8 1/2 Rods to beginning.	68 square Rods
10	Nauvoo:Warrington:11:3::Beginning Southeast corner Warrington and Parley streets; South 99 feet; East 88 feet; North 99 feet; West 88 feet to beginning.	town	Nauvoo	Warrington	11	3						Beginning Southeast corner Warrington and Parley streets; South 99 feet; East 88 feet; North 99 feet; West 88 feet to beginning.	
11	Nauvoo:Warrington:11:3::Beginning Southeast corner Warrington-Parley Street: South on East side Parley 99 feet; East 88 feet; North 99 feet; West 88 feet to beginning	town	Nauvoo	Warrington	11	3						Beginning Southeast corner Warrington-Parley Street: South on East side Parley 99 feet; East 88 feet; North 99 feet; West 88 feet to beginning	
12	Chili:Chili:2:18::	town	Chili	Chili	2	18							
13	Southeast S32 T7 North R8 West 4th PM: Commence 16 chains 30 links West from Northeast corner of Southeast/4 Section 32; West 16 chains 30 links; South 20 chains 36 links; East 16 chains 30 links; North to beginning: all except 4 Acres lying on East side of South/2 above Lot deeded to Cahoon.	plss					4th PM	8 West	7 North	32	Southeast	Commence 16 chains 30 links West from Northeast corner of Southeast/4 Section 32; West 16 chains 30 links; South 20 chains 36 links; East 16 chains 30 links; North to beginning: all except 4 Acres lying on East side of South/2 above Lot deeded to Cahoon.	20
14	Nauvoo:Hibbard:4:4::	town	Nauvoo	Hibbard	4	4							
15	Nauvoo:Hibbard:7:1::	town	Nauvoo	Hibbard	7	1							
16	Southeast/4 Northeast/4  S34 T6 North R8 West 4th PM: 	plss					4th PM	8 West	6 North	34	Southeast/4 Northeast/4 		40
17	East/2 Southeast/4 S32 T5 North R8 West 4th PM: 	plss					4th PM	8 West	5 North	32	East/2 Southeast/4		
18	East/2 Southeast/4 S32 T5 North R8 West 4th PM: 	plss					4th PM	8 West	5 North	32	East/2 Southeast/4		80
19	Nauvoo:Wells:26:2::Commence 75 feet from Southwest corner West line; North 38 feet; East half the depth of said Lot or 6 Rods; South 38 feet; West to beginning.	town	Nauvoo	Wells	26	2						Commence 75 feet from Southwest corner West line; North 38 feet; East half the depth of said Lot or 6 Rods; South 38 feet; West to beginning.	
20	Northwest/4 S9 T6 North R6 West 4th PM: 	plss					4th PM	6 West	6 North	9	Northwest/4		
21	Nauvoo:Warrington:5:3::	town	Nauvoo	Warrington	5	3							
22	Northeast/4 S9 T3 North R6 West 4th PM: 	plss					4th PM	6 West	3 North	9	Northeast/4		
23	Southwest/4 S10 T5 North R8 West 4th PM: 	plss					4th PM	8 West	5 North	10	Southwest/4		
24	Northwest/4 S22 T6 North R7 West 4th PM: 	plss					4th PM	7 West	6 North	22	Northwest/4		
25	East/2 S18 T6 North R7 West 4th PM: 	plss					4th PM	7 West	6 North	18	East/2		
26	Southwest/4 S9 T6 North R7 West 4th PM: 	plss					4th PM	7 West	6 North	9	Southwest/4		
27	Northwest/4 S29 T6 North R7 West 4th PM: 	plss					4th PM	7 West	6 North	29	Northwest/4		
28	Southwest/4 S34 T6 North R7 West 4th PM: 	plss					4th PM	7 West	6 North	34	Southwest/4		
29	Southeast/4 S28 T6 North R7 West 4th PM: 	plss					4th PM	7 West	6 North	28	Southeast/4		
30	Northwest/4 S35 T6 North R7 West 4th PM: 	plss					4th PM	7 West	6 North	35	Northwest/4		
31	Southeast/4 S14 T6 North R7 West 4th PM: 	plss					4th PM	7 West	6 North	14	Southeast/4		
32	Southwest/4 Southwest/4 S15 T7 North R8 West 4th PM: 	plss					4th PM	8 West	7 North	15	Southwest/4 Southwest/4		
33	West/2 Southwest/4 S22 T7 North R8 West 4th PM: 	plss					4th PM	8 West	7 North	22	West/2 Southwest/4		
34	Nauvoo:Nauvoo:154:2::	town	Nauvoo	Nauvoo	154	2							
35	Nauvoo:Wells:24:4::Beginning Southeast corner Lot 4; North 71 feet; West 7 Rods 5 feet; South 17 feet; East 7 Rods 5 feet to beginning.	town	Nauvoo	Wells	24	4						Beginning Southeast corner Lot 4; North 71 feet; West 7 Rods 5 feet; South 17 feet; East 7 Rods 5 feet to beginning.	
36	Nauvoo:Wells:26:2::Commence Southwest corner Lot 2; North 75 feet; East 6 Rods; South 75 feet; West to beginning.	town	Nauvoo	Wells	26	2						Commence Southwest corner Lot 2; North 75 feet; East 6 Rods; South 75 feet; West to beginning.	
37	Nauvoo:Kimball Third:1:3::	town	Nauvoo	Kimball Third	1	3							
38	East/2 Southeast/4 Northwest/4 S1 T6 North R8 West 4th PM: 	plss					4th PM	8 West	6 North	1	East/2 Southeast/4 Northwest/4		20.52
39	Southwest/4 Southwest/4 S32 T6 North R8 West 4th PM: 	plss					4th PM	8 West	6 North	32	Southwest/4 Southwest/4		
