LINK_ID	PARCEL_ID	DEED_ID
1	1	10001
2	2	10002
3	3	10003
4	4	10005
5	5	10006
6	6	10007
7	7	10008
8	8	10009
9	9	10010
10	10	10012
11	11	10013
12	12	10014
13	13	10016
14	14	10017
15	15	10017
16	16	10017
17	17	10019
18	18	10020
19	19	10022
20	20	10023
21	21	10025
22	22	10027
23	23	10027
24	24	10027
25	25	10027
26	26	10027
27	27	10027
28	28	10027
29	29	10027
30	30	10027
31	31	10027
32	32	10029
33	33	10029
34	34	10030
35	35	10031
36	36	10033
37	37	10035
38	38	10039
39	39	10043
40	40	10047
41	41	10049
42	42	10050
43	43	10051
44	44	10053
45	45	10056
46	46	10057
47	47	10058
48	48	10060
49	49	10062
50	50	10064
51	51	10065
52	52	10068
53	53	10069
54	54	10070
55	55	10071
56	56	10072
57	57	10073
58	58	10074
59	59	10074
60	60	10074
61	61	10075
62	62	10076
63	63	10076
64	64	10076
65	65	10079
66	66	10080
67	67	10081
68	68	10082
69	69	10083
70	70	10084
71	71	10085
72	72	10086
73	73	10087
74	74	10088
75	75	10089
76	76	10090
77	77	10091
78	78	10092
79	79	10093
80	80	10094
81	81	10095
82	82	10098
83	83	10099
84	84	10101
85	85	10102
86	86	10103
87	87	10105
88	88	10106
89	89	10107
90	90	10108
91	91	10109
92	92	10110
93	93	10110
94	94	10111
95	95	10112
96	96	10115
97	97	10117
98	98	10118
99	99	10119
100	100	10122
101	101	10128
102	102	10135
103	103	10137
104	104	10138
105	105	10139
106	106	10140
107	107	10144
108	108	10145
109	109	10147
110	110	10148
111	111	10149
112	112	10150
113	113	10151
114	114	10154
115	115	10155
116	116	10158
117	117	10159
118	118	10160
119	119	10161
120	120	10163
121	121	10167
122	122	10168
123	123	10169
124	124	10170
125	125	10171
126	126	10172
127	127	10173
128	128	10174
129	129	10175
130	130	10176
131	131	10177
132	132	10178
133	133	10179
134	134	10183
135	135	10184
136	136	10185
137	137	10188
138	138	10189
139	139	10190
140	140	10193
141	141	10193
142	142	10194
143	143	10196
144	144	10198
145	145	10199
146	146	10200
147	147	10202
148	148	10203
149	149	10205
150	150	10207
151	151	10208
152	152	10208
153	153	10209
154	154	10216
155	155	10217
156	156	10218
157	157	10219
158	158	10221
159	159	10222
160	160	10223
161	161	10225
162	162	10226
163	163	10227
164	164	10229
165	165	10229
166	166	10229
167	167	10229
168	168	10230
169	169	10233
170	170	10233
171	171	10234
172	172	10234
173	173	10235
174	174	10235
175	175	10237
176	176	10238
177	177	10240
178	178	10242
179	179	10245
180	180	10246
181	181	10249
182	182	10254
183	183	10255
184	184	10256
185	185	10260
186	186	10262
187	187	10263
188	188	10264
189	189	10267
190	190	10268
191	191	10270
192	192	10270
193	193	10271
194	194	10277
195	195	10278
196	196	10279
197	197	10280
198	198	10283
199	199	10283
200	200	10284
201	201	10285
202	202	10288
203	203	10289
204	204	10291
205	205	10296
206	206	10296
207	207	10299
208	208	10300
209	209	10301
210	210	10304
211	211	10305
212	212	10306
213	213	10307
214	214	10310
215	215	10311
216	216	10312
217	217	10313
218	218	10314
219	219	10318
220	220	10320
221	221	10321
222	222	10321
223	223	20001
224	224	20001
225	225	20001
226	226	20001
227	227	20001
228	228	20001
229	229	20001
230	230	20001
231	231	20001
232	232	20001
233	233	20001
234	234	20001
235	235	20001
236	236	20001
237	237	20001
238	238	20001
239	239	20001
240	240	20001
241	241	20001
242	242	20003
243	243	20003
244	244	20003
245	245	20003
246	246	20003
247	247	20004
248	248	20005
249	249	20010
250	250	20011
251	251	20012
252	252	20012
253	253	20012
254	254	20012
255	255	20012
256	256	20014
257	257	20014
258	258	20016
259	259	20017
260	260	20018
261	261	20019
262	262	20022
263	263	20023
264	264	20024
265	265	20024
266	266	20024
267	267	20025
268	268	20027
269	269	20027
270	270	20028
271	271	20033
272	272	20034
273	273	20035
274	274	20035
275	275	20035
276	276	20035
277	277	20035
278	278	20037
279	279	20041
280	280	20041
281	281	20045
282	282	20045
283	283	20046
284	284	20047
285	285	20047
286	286	20049
287	287	20049
288	288	20049
289	289	20049
290	290	20049
291	291	20049
292	292	20049
293	293	20049
294	294	20049
295	295	20049
296	296	20049
297	297	20049
298	298	20049
299	299	20049
300	300	20049
301	301	20049
302	302	20049
303	303	20049
304	304	20049
305	305	20049
306	306	20049
307	307	20049
308	308	20049
309	309	20049
310	310	20049
311	311	20049
312	312	20049
313	313	20049
314	314	20049
315	315	20049
316	316	20049
317	317	20049
318	318	20050
319	319	20050
320	320	20050
321	321	20050
322	322	20050
323	323	20050
324	324	20050
325	325	20050
326	326	20050
327	327	20050
328	328	20050
329	329	20050
330	330	20050
331	331	20050
332	332	20050
333	333	20050
334	334	20050
335	335	20050
336	336	20050
337	337	20051
338	338	20052
339	339	20052
340	340	20053
341	341	20054
342	342	20056
343	343	20058
344	344	20059
345	345	20059
346	346	20060
347	347	20061
348	348	20063
349	349	20064
350	350	20064
351	351	20065
352	352	20066
353	353	20067
354	354	20069
355	355	20071
356	356	20072
357	357	20072
358	358	20072
359	359	20074
360	360	20075
361	361	20077
362	362	20078
363	363	20079
364	364	20080
365	365	20081
366	366	20082
367	367	20083
368	368	20084
369	369	20086
370	370	20089
371	371	20090
372	372	20091
373	373	20091
374	374	20092
375	375	20093
376	376	20094
377	377	20094
378	378	20094
379	379	20094
380	380	20095
381	381	20096
382	382	20097
383	383	20098
384	384	20100
385	385	20100
386	386	20103
387	387	20104
388	388	20106
389	389	20110
390	390	20111
391	391	20113
392	392	20116
393	393	20117
394	394	20119
395	395	20121
396	396	20122
397	397	20123
398	398	20123
399	399	20124
400	400	20124
401	401	20128
402	402	20131
403	403	20131
404	404	20131
405	405	20131
406	406	20131
407	407	20132
408	408	20133
409	409	20134
410	410	20135
411	411	20135
412	412	20135
413	413	20135
414	414	20135
415	415	20135
416	416	20135
417	417	20137
418	418	20137
419	419	20138
420	420	20139
421	421	20140
422	422	20143
423	423	20143
424	424	20147
425	425	20148
426	426	20149
427	427	20150
428	428	20151
429	429	20151
430	430	20152
431	431	20153
432	432	20154
433	433	20155
434	434	20158
435	435	20158
436	436	20161
437	437	20162
438	438	20169
439	439	20170
440	440	20170
441	441	20171
442	442	20171
443	443	20175
444	444	20177
445	445	20181
446	446	20183
447	447	20185
448	448	20187
449	449	20188
450	450	20188
451	451	20189
452	452	20190
453	453	20194
454	454	20195
455	455	20195
456	456	20195
457	457	20195
458	458	20198
459	459	20201
460	460	20202
461	461	20205
462	462	20206
463	463	20208
464	464	20209
465	465	20210
466	466	20211
467	467	20212
468	468	20212
469	469	20215
470	470	20216
471	471	20217
472	472	20217
473	473	20217
474	474	20218
475	475	20219
476	476	20220
477	477	20222
478	478	20222
479	479	20223
480	480	20223
481	481	20224
482	482	20225
483	483	20226
484	484	20227
485	485	20228
486	486	20229
487	487	20231
488	488	20232
489	489	20232
490	490	20232
491	491	20232
492	492	20232
493	493	20232
494	494	20232
495	495	20232
496	496	20232
497	497	20232
498	498	20233
499	499	20234
500	500	20234
501	501	20234
502	502	20235
503	503	20238
504	504	20241
505	505	20247
506	506	20251
507	507	20252
508	508	20254
509	509	20255
510	510	20256
511	511	20257
512	512	20261
513	513	20261
514	514	20261
515	515	20262
516	516	20263
517	517	20264
518	518	20269
519	519	20270
520	520	20272
521	521	20273
522	522	20274
523	523	20279
524	524	20280
525	525	20281
526	526	20282
527	527	20286
528	528	20287
529	529	20288
530	530	20290
531	531	20292
532	532	20293
533	533	20295
534	534	20297
535	535	20298
536	536	20299
537	537	20301
538	538	20303
539	539	20305
540	540	20307
541	541	20308
542	542	20308
543	543	20309
544	544	20310
545	545	20311
546	546	20312
547	547	20315
548	548	20317
549	549	20318
550	550	20319
551	551	20324
552	552	20325
553	553	20326
554	554	20327
555	555	20329
556	556	20331
557	557	20333
558	558	20334
559	559	20336
560	560	20337
561	561	20338
562	562	20339
563	563	20340
564	564	20341
565	565	20343
566	566	20344
567	567	20345
568	568	20346
569	569	20348
570	570	20349
571	571	20350
572	572	20351
573	573	20352
574	574	20353
575	575	20356
576	576	20357
577	577	20359
578	578	20361
579	579	20366
580	580	20368
581	581	20369
582	582	20370
583	583	20371
584	584	20373
585	585	20374
586	586	20375
587	587	20376
588	588	20377
589	589	20377
590	590	20377
591	591	20377
592	592	20378
593	593	20379
594	594	20379
595	595	20384
596	596	20385
597	597	20385
598	598	20387
599	599	20388
600	600	20388
601	601	20391
602	602	20392
603	603	20394
604	604	20395
605	605	20396
606	606	20397
607	607	20397
608	608	20397
609	609	20398
610	610	20399
611	611	20400
612	612	20402
613	613	20402
614	614	20404
615	615	20406
616	616	20408
617	617	20409
618	618	20412
619	619	20412
620	620	20414
621	621	20415
622	622	20416
623	623	20417
624	624	20419
625	625	20420
626	626	20422
627	627	20426
628	628	20428
629	629	20429
630	630	20433
631	631	20434
632	632	20435
633	633	20437
634	634	20438
635	635	20439
636	636	20440
637	637	20442
638	638	20447
639	639	20447
640	640	20448
641	641	20450
642	642	20453
643	643	20455
644	644	20457
645	645	20460
646	646	20461
647	647	20463
648	648	20464
649	649	20464
650	650	20464
651	651	20467
652	652	20470
653	653	20471
654	654	20472
655	655	20473
656	656	20474
657	657	20475
658	658	20476
659	659	20477
660	660	20479
661	661	20480
662	662	20482
663	663	20483
664	664	20484
665	665	20485
666	666	20486
667	667	20487
668	668	20488
669	669	20489
670	670	20490
671	671	20491
672	672	20493
673	673	20494
674	674	20497
675	675	20499
676	676	20500
677	677	20502
678	678	20504
679	679	20506
680	680	20507
681	681	20508
682	682	20509
683	683	20512
684	684	20513
685	685	20515
686	686	20516
687	687	20518
688	688	20523
689	689	20524
690	690	20524
691	691	20525
692	692	20525
693	693	20525
694	694	20525
695	695	20525
696	696	20525
697	697	20526
698	698	20527
699	699	20528
700	700	20528
701	701	20528
702	702	20528
703	703	20529
704	704	20529
705	705	20531
706	706	20532
707	707	20534
708	708	20537
709	709	20539
710	710	20540
711	711	20541
712	712	20544
713	713	20547
714	714	20549
715	715	20549
716	716	20549
717	717	20549
718	718	20550
719	719	20550
720	720	20550
721	721	20550
722	722	20551
723	723	20555
724	724	20556
725	725	20559
726	726	20562
727	727	20564
728	728	20567
729	729	20570
730	730	20571
731	731	20572
732	732	20576
733	733	20578
734	734	20578
735	735	20578
736	736	20578
737	737	20582
738	738	20583
739	739	20584
740	740	20585
741	741	20586
742	742	20590
743	743	20591
744	744	20591
745	745	20591
746	746	20591
747	747	20591
748	748	20591
749	749	20591
750	750	20594
751	751	20596
752	752	20596
753	753	20596
754	754	20596
755	755	20598
756	756	20598
757	757	20600
758	758	20601
759	759	20601
760	760	20602
761	761	20603
762	762	20606
763	763	20607
764	764	20610
765	765	20612
766	766	20613
767	767	20614
768	768	20616
769	769	20616
770	770	20617
771	771	20617
772	772	20617
773	773	20617
774	774	20617
775	775	20617
776	776	20617
777	777	20617
778	778	20617
779	779	20617
780	780	20618
781	781	20618
782	782	20619
783	783	20619
784	784	20619
785	785	20621
786	786	20622
787	787	20624
788	788	20625
789	789	20625
790	790	20625
791	791	20626
792	792	20627
793	793	20631
794	794	20633
795	795	20635
796	796	20636
797	797	20639
798	798	20640
799	799	20642
800	800	20643
801	801	20643
802	802	20646
803	803	20647
804	804	20648
805	805	20648
806	806	20649
807	807	20650
808	808	20656
809	809	20662
810	810	20663
811	811	20665
812	812	20665
813	813	20665
814	814	20665
815	815	20665
816	816	20668
817	817	20669
818	818	20670
819	819	20671
820	820	20671
821	821	20671
822	822	20671
823	823	20671
824	824	20675
825	825	20679
826	826	20680
827	827	20684
828	828	20685
829	829	20686
830	830	20687
